index,location,population,2-24-20,2-25-20,2-26-20,2-27-20,2-28-20,2-29-20,3-01-20,3-02-20,3-03-20,3-04-20,3-05-20,3-06-20,3-07-20,3-08-20,3-09-20,3-10-20,3-11-20,3-12-20,3-13-20,3-14-20,3-15-20,3-16-20,3-17-20,3-18-20,3-19-20,3-20-20,3-21-20,3-22-20,3-23-20,3-24-20,3-25-20,3-26-20,3-27-20,3-28-20,3-29-20,3-30-20,3-31-20,4-01-20,4-02-20,4-03-20,4-04-20,4-05-20,4-06-20,4-07-20,4-08-20,4-09-20,4-10-20,4-11-20,4-12-20,4-13-20,4-14-20,4-15-20,4-16-20,4-17-20,4-18-20,4-19-20,4-20-20,4-21-20,4-22-20,4-23-20,4-24-20,4-25-20,4-26-20,4-27-20,4-28-20,4-29-20,4-30-20,5-01-20,5-02-20,5-03-20,5-04-20,5-05-20,5-06-20,5-07-20,5-08-20,5-09-20,5-10-20,5-11-20,5-12-20,5-13-20,5-14-20,5-15-20,5-16-20,5-17-20,5-18-20,5-19-20,5-20-20,5-21-20,5-22-20,5-23-20,5-24-20
0,"Contra Costa CA",1153526,0,0,0,0,0,0,0,0,0,1,1,3,3,9,9,10,10,10,25,29,29,34,39,41,42,46,51,61,71,86,108,131,151,168,175,187,222,250,276,307,353,386,417,442,462,484,511,530,539,552,600,615,631,648,685,693,707,749,763,770,786,805,817,820,842,862,891,907,934,945,947,969,985,999,1014,1036,1048,1048,1066,1080,1089,1100,1121,1146,1155,1192,1209,1234,1259,1296,1321
1,"Orange CA",3175692,1,1,1,1,1,1,1,1,1,3,3,3,3,3,5,5,6,6,13,14,17,22,29,42,53,65,78,95,125,152,187,256,321,403,431,464,502,606,656,711,786,834,882,931,1016,1079,1138,1221,1277,1283,1299,1376,1425,1501,1556,1636,1676,1691,1753,1827,1845,1969,2074,2126,2151,2252,2393,2537,2636,2743,2819,2873,3004,3092,3240,3380,3502,3557,3602,3749,3968,4125,4222,4376,4434,4500,4742,4841,4941,5157,5336
2,"Alameda CA",1671329,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4,7,7,15,18,27,31,35,45,65,106,122,124,135,163,220,256,270,283,313,359,396,443,537,566,588,634,674,713,766,806,843,884,884,962,1007,1061,1114,1164,1191,1239,1280,1350,1401,1437,1468,1498,1533,1568,1603,1636,1705,1749,1776,1809,1863,1917,1961,2023,2064,2101,2133,2178,2234,2300,2351,2392,2457,2522,2560,2609,2708,2767,2847
3,"Imperial CA",181215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,2,2,4,4,6,6,6,9,9,17,21,25,25,33,33,43,50,55,55,65,68,73,75,79,79,87,87,100,117,117,143,143,155,160,160,195,214,232,251,251,251,284,304,319,333,358,358,358,379,400,419,455,512,512,512,564,603,647,712,786,786,786,876,902,985,985,1145,1145,1145
4,"Riverside CA",2470546,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,8,8,8,8,14,15,16,16,22,28,30,45,47,59,107,107,185,195,233,291,371,429,493,638,665,799,946,1016,1179,1280,1350,1431,1619,1751,1961,2105,2264,2457,2602,2638,2847,2960,3084,3218,3315,3409,3563,3643,3735,3942,4031,4079,4164,4180,4354,4454,4672,4756,4817,4992,5039,5189,5248,5343,5440,5618,5618,5618,5952,6053,6184,6343,6464,6464,6464
5,"San Diego CA",3338330,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,8,8,39,53,58,75,89,120,148,194,230,242,297,341,417,488,519,603,734,849,966,1112,1209,1326,1404,1454,1530,1628,1693,1761,1804,1847,1930,2012,2087,2158,2213,2268,2325,2434,2491,2643,2826,2943,3043,3141,3314,3432,3564,3711,3842,3927,4020,4160,4319,4429,4662,4776,4926,5065,5161,5278,5391,5523,5662,5836,5946,6026,6140,6315,6434,6559,6701
6,"San Francisco CA",881549,0,0,0,0,0,0,0,0,0,0,2,2,9,9,15,15,18,18,23,28,37,40,43,51,70,84,84,108,131,152,178,223,279,308,340,374,397,434,450,497,529,568,583,622,676,724,797,857,872,957,987,1013,1019,1058,1137,1157,1216,1231,1233,1302,1340,1354,1408,1424,1468,1490,1499,1523,1543,1602,1624,1728,1754,1806,1853,1891,1943,1954,1977,1994,1999,2026,2054,2054,2131,2179,2185,2198,2320,2350,2367
7,"San Mateo CA",766573,0,0,0,0,0,0,0,1,2,2,2,2,2,2,9,15,15,15,20,32,32,41,64,80,97,110,110,117,142,161,165,195,239,274,277,309,309,388,453,486,538,555,579,589,617,633,638,652,652,701,721,747,767,797,838,838,920,935,958,966,989,1019,1019,1080,1099,1136,1177,1197,1233,1233,1281,1315,1341,1341,1397,1425,1425,1464,1497,1515,1536,1575,1602,1602,1671,1687,1697,1738,1783,1833,1833
8,"Santa Clara CA",1927852,5,5,7,7,9,13,13,18,20,24,31,40,49,53,70,85,111,134,180,223,255,290,337,390,442,504,543,581,655,724,801,875,937,978,1001,1079,1135,1189,1246,1286,1317,1359,1413,1453,1528,1595,1674,1715,1741,1779,1820,1843,1863,1899,1909,1921,1932,1934,1946,1987,2018,2040,2084,2105,2122,2134,2163,2179,2204,2231,2244,2255,2268,2281,2290,2307,2339,2341,2364,2381,2391,2403,2418,2453,2470,2483,2492,2492,2546,2571,2617
9,"Santa Cruz CA",273213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,7,7,7,9,13,13,14,15,15,15,22,24,25,32,34,39,44,45,49,54,57,59,62,69,71,76,76,80,80,82,88,91,91,96,96,98,101,104,106,108,111,114,115,115,120,124,125,127,131,132,134,137,137,138,138,139,140,141,141,141,146,146,149,149,157,159,163,165,168,174,186,192,192
10,"Gilpin CO",6243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3
11,"Boulder CO",326196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,8,11,16,30,37,39,49,51,66,76,84,90,100,107,114,132,143,154,177,189,206,207,217,234,246,264,284,293,300,312,327,342,352,360,390,417,426,470,497,500,515,543,565,580,618,646,661,679,685,700,720,743,757,767,777,788,797,805,825,835,844,857,871,878,890,898,923,928
12,"Broomfield CO",70465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,5,8,10,13,16,17,18,20,21,30,36,44,50,50,50,52,61,68,74,81,81,88,92,95,98,101,101,103,106,110,113,126,135,139,141,145,147,150,157,163,165,167,178,180,186,191,195,198,200,201,203,204,207,209,211,213,214,215,218,220,220,220
13,"Denver CO",727211,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,6,10,15,21,25,25,38,38,49,67,97,125,148,176,214,262,312,367,408,465,539,586,643,716,769,825,847,884,927,927,927,927,927,927,927,927,1549,1636,1723,1784,1880,2004,2071,2172,2385,2487,2583,2682,2791,2890,3001,3092,3222,3345,3428,3546,3674,3799,3892,4001,4070,4118,4187,4254,4359,4452,4548,4656,4720,4790,4858,4948,5056,5151,5173
14,"Weld CO",324492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,5,5,9,15,21,37,50,76,87,107,129,161,180,215,255,293,329,379,424,470,504,537,573,614,649,683,738,808,858,928,960,986,1029,1070,1121,1180,1237,1263,1353,1430,1469,1544,1618,1704,1776,1802,1836,1872,1897,1955,1988,2042,2087,2120,2139,2159,2190,2211,2232,2260,2281,2295,2305,2326,2338,2358,2367,2391,2406
15,"Larimer CO",356899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,5,7,19,32,34,43,45,61,67,79,84,92,99,107,124,134,144,153,158,161,167,174,177,180,187,193,198,202,217,224,231,239,245,250,266,274,291,303,312,321,334,348,363,377,384,393,393,409,415,423,437,444,448,452,455,456,463,472,485,489,495,508,512,517,520,530,537
16,"Grand CO",15734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6
17,"Oldham KY",66799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,11,11,16,19,19,21,22,22,22,22,22,24,24,24,24,24,27,27,28,29,29,32,32,33,33,35,35,36,37,37,37,37,41,44,50,50,54,54,54,57,59,60,60,60,60
18,"Shelby KY",49024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,13,17,19,19,19,19,21,21,22,22,22,22,23,23,23,26,26,28,28,28,28,30,30,30,31,31,33,34,35,44,49,49,52,54,54,54,65,75,75,76,78,82,84,89,92,92
19,"Bullitt KY",81676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,11,11,11,11,11,14,14,24,24,29,30,31,31,31,31,33,33,33,34,36,40,43,48,50,51,51,53,55,55,56,56,68,72,74,79,82,82,83,86,87,89,92,93,93,98,99,101,101,101,104,104
20,"Jefferson KY",766757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,6,7,7,10,17,17,17,17,28,31,31,60,103,126,126,143,206,228,241,267,312,313,372,402,478,495,520,520,520,531,573,582,599,599,689,814,867,925,954,1008,1114,1114,1120,1140,1224,1281,1307,1352,1352,1403,1419,1497,1535,1578,1610,1642,1642,1691,1713,1730,1741,1772,1865,1865,1916,1959,1968,1994,2021,2050,2050
21,"Hamilton OH",817473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,19,26,38,48,53,63,71,85,101,124,154,178,220,288,319,394,411,437,473,504,529,535,558,576,594,615,658,701,718,735,768,785,868,932,975,1005,1048,1091,1150,1218,1297,1353,1380,1434,1480,1527,1572,1664,1731,1757,1823,1859,1886,1927,1961,2007,2047,2082,2138,2167,2228,2279,2349,2403
22,"Spencer KY",19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,7,9,8,8,8,8,9,9,9,9,9,9,10,10,10,10,12,13,13,13,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
23,"Barren KY",44249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,5,5,5,5,5,5,6,6,6,6,6,7,8,8,9,13,13,15,15,16,17,17,17,18,20,22,22,24,24,28,28,28,30,33,34,34,34,34,34,34,38,38,40,42,42
24,"Anderson KY",22747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,13,13,15,15,15,15,15
25,"Clark KY",36263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,11,11,11,12,13,16,16,13,16,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,35,36,37,37,37
26,"Woodford KY",26734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,4,4,9,9,9,12,13,13,13,14,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,19,19,19,19,19,19,19,19,19,19,25,25,25
27,"Jessamine KY",54115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,11,11,11,11,11,11,11,11,11,11,23,24,24,27,28,29,29,30,31,31,31,31,31,31,31,31,32,34,34,37,40,40,40,40,40,40,40,40,40,41,46,46,47,49,49,50,50,50,50,50,50,50,50,50,51,51
28,"Fayette KY",323152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,5,5,7,7,7,7,7,16,21,21,42,53,66,66,74,110,116,116,133,133,153,159,159,183,188,197,201,204,205,206,206,209,210,218,219,219,219,223,223,226,235,238,239,242,246,248,254,254,287,295,298,306,328,342,368,368,392,409,437,467,530,550,550,564,591,591,596,603,619,619
29,"Scott KY",57004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,11,11,11,11,11,11,11,11,21,21,21,21,21,21,21,22,22,22,22,22,22,23,23,24,24,24,24,24,24,24,24,24,24,24,32,32,32,32,32,33,33,33,33,33,33,33,33,34,34,34,34,34
30,"Madison KY",92987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,3,3,11,11,11,11,11,11,11,17,18,20,20,20,20,21,21,21,21,21,21,21,21,23,23,26,27,28,28,28,28,28,29,29,29,30,31,31,33,33,34,34,34,35,39,41,42,43,43,45,45,45,45,45,45,45
31,"Crawford MO",23920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,3,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
32,"Franklin MO",103967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,6,7,7,13,16,19,23,24,25,33,35,56,62,68,75,81,84,84,83,89,91,95,98,99,102,102,103,106,106,106,106,110,110,114,114,119,122,125,127,128,128,128,128,128,130,131,133,134,134,134,134,135,135,136,137,137,137,138
33,"Jefferson MO",225081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,15,17,17,18,30,38,47,62,69,71,81,92,95,98,107,115,115,129,138,147,155,179,183,214,222,230,238,240,249,249,249,249,255,256,260,261,265,271,278,278,286,289,289,292,292,293,293,295,297,298,306,310,311,312,313,313,315,315,320
34,"St. Charles MO",402022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,8,12,22,32,37,43,56,71,93,105,132,143,157,188,221,254,274,298,320,328,346,368,392,405,417,426,435,447,458,467,476,502,513,526,543,555,560,566,577,596,603,611,624,631,646,655,658,665,667,671,679,684,684,685,688,695,706,712,712,722,730,741
35,"St. Louis MO",994205,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,8,12,22,23,69,100,129,173,247,313,336,366,492,605,712,794,864,883,1033,1203,1302,1393,1498,1568,1633,1724,1851,1938,2026,2088,2163,2214,2289,2333,2436,2507,2625,2718,2794,2897,2958,3008,3049,3151,3244,3325,3419,3467,3539,3621,3667,3727,3804,3828,3868,3912,3973,4025,4106,4140,4182,4226,4266,4323,4367,4434,4479
36,"Warren MO",35649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,6,7,7,7,9,9,11,13,12,11,11,12,12,16,16,16,17,18,18,18,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,23,23,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,26
37,"St. Francois MO",67215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,3,3,5,6,9,12,14,15,17,19,20,20,20,21,22,22,22,22,23,23,23,23,23,24,24,25,25,26,27,27,27,27,27,27,27,27,27,27,27,27,29,29,29,29,29,29,29,29,29,29,29,29,30,30,31,31,31
38,"Gasconade MO",14706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
39,"Bernalillo NM",679121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,6,6,14,14,16,20,23,32,34,38,43,48,55,82,92,101,117,129,148,163,202,225,246,262,307,325,369,407,422,440,455,455,455,491,514,527,542,566,566,600,631,651,670,688,694,738,765,811,830,883,920,944,963,981,1012,1030,1050,1073,1086,1111,1124,1149,1180,1180,1180,1218,1225,1254,1273,1313,1313,1313
40,"Cibola NM",26675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,4,5,8,12,14,14,15,16,21,24,25,25,25,25,25,30,32,33,33,33,33,35,38,38,39,41,41,46,47,52,63,63,68,69,74,82,82,85,86,86,86,89,93,100,100,100,100,103,108,111,113,122,122,122
41,"Sandoval NM",146748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,6,7,7,7,7,8,10,15,15,15,22,29,32,40,66,69,103,114,128,143,174,177,199,235,244,244,244,293,301,311,315,317,317,341,345,357,365,374,378,383,385,389,396,410,416,421,426,432,439,451,452,458,467,474,477,479,483,483,483,495,498,520,528,529,529,529
42,"Santa Fe NM",150358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,4,5,7,7,8,10,12,14,17,22,29,30,34,38,42,48,48,52,58,62,64,66,68,70,72,74,75,76,76,76,79,80,82,83,86,86,93,94,94,95,95,95,98,98,100,100,107,107,108,108,110,110,110,110,111,112,112,113,113,114,114,114,124,126,127,127,129,129,129
43,"Torrance NM",15461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,3,3,3,3,6,6,6,7,7,8,9,9,10,10,10,10,12,12,12,12,13,13,13,13,13,13,14,14,15,15,15,15,16,16,16,17,17,17,17,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19
44,"Valencia NM",76688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,5,5,5,5,5,7,7,7,8,11,14,15,18,20,20,20,24,26,26,29,33,33,35,38,41,41,42,42,42,44,45,47,49,50,50,53,54,54,55,55,55,57,57,59,60,63,63,63,68,68,69,69,70,70,70
45,"Livingston NY",62914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,5,10,12,13,14,14,16,18,19,22,23,25,26,29,30,30,30,31,31,32,34,37,39,39,39,39,41,44,58,60,62,65,67,69,73,76,83,85,86,89,95,100,101,102,102,102,103,106,106,107,110,110,111,111,114,114,114,114
46,"Orleans NY",40352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,4,6,6,6,9,10,11,13,15,16,22,24,24,25,26,31,33,34,34,41,46,46,53,56,59,60,75,80,80,80,85,89,92,93,97,97,99,103,108,121,122,126,130,133,142,145,147,163,167,167,168,171,174,175,196,202
47,"Genesee NY",57280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,6,7,9,9,10,13,14,16,20,22,23,33,47,56,65,67,69,71,76,76,78,83,87,117,119,121,122,126,127,141,144,148,149,152,153,154,155,155,159,159,162,168,169,170,172,173,174,174,175,175,178,180,180,182,184,188,189,191,191
48,"Monroe NY",741770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,10,10,14,27,32,42,42,76,96,118,139,160,192,219,242,300,349,420,464,512,548,574,596,651,698,742,767,798,823,850,884,932,975,1008,1032,1054,1070,1112,1152,1199,1285,1316,1331,1371,1404,1441,1478,1534,1566,1595,1623,1655,1688,1735,1775,1821,1850,1890,1959,2019,2091,2192,2258,2303,2376,2465,2530,2601,2661,2697
49,"Ontario NY",109777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,6,6,7,9,11,14,16,18,20,22,24,26,28,31,32,32,33,39,43,51,56,57,57,61,62,65,67,69,70,71,72,73,73,73,82,84,86,90,90,90,91,92,95,96,97,99,101,104,104,106,107,107,109,129,133,139,146,148,152,170,176,180,182,184
