index,location,population,2-24-20,2-25-20,2-26-20,2-27-20,2-28-20,2-29-20,3-01-20,3-02-20,3-03-20,3-04-20,3-05-20,3-06-20,3-07-20,3-08-20,3-09-20,3-10-20,3-11-20,3-12-20,3-13-20,3-14-20,3-15-20,3-16-20,3-17-20,3-18-20,3-19-20,3-20-20,3-21-20,3-22-20,3-23-20,3-24-20,3-25-20,3-26-20,3-27-20,3-28-20,3-29-20,3-30-20,3-31-20,4-01-20,4-02-20,4-03-20,4-04-20,4-05-20,4-06-20,4-07-20,4-08-20,4-09-20,4-10-20,4-11-20,4-12-20,4-13-20,4-14-20,4-15-20,4-16-20,4-17-20,4-18-20,4-19-20,4-20-20,4-21-20,4-22-20,4-23-20,4-24-20,4-25-20,4-26-20,4-27-20,4-28-20,4-29-20,4-30-20,5-01-20,5-02-20,5-03-20,5-04-20,5-05-20,5-06-20,5-07-20,5-08-20,5-09-20,5-10-20,5-11-20,5-12-20,5-13-20,5-14-20,5-15-20,5-16-20,5-17-20,5-18-20,5-19-20,5-20-20,5-21-20,5-22-20,5-23-20,5-24-20
50,"Wayne NY",89918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,6,6,7,8,11,12,12,15,20,20,27,30,30,32,34,35,39,39,41,42,42,42,48,48,49,49,49,50,50,51,52,53,53,65,65,69,70,70,71,71,73,75,76,78,78,78,79,79,80,81,83,84,89,91,92,96,97,98,103,103,104,107,108
51,"Cayuga NY",76576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,4,6,7,8,11,14,14,16,27,28,29,30,33,36,36,36,36,36,36,36,36,37,39,47,47,48,48,48,48,51,51,51,51,51,51,52,52,53,58,60,60,60,60,61,63,63,65,68,68,72,73,76,77
52,"Onondaga NY",460528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,8,8,29,52,60,65,83,115,129,152,180,194,217,234,252,262,268,271,335,347,358,369,380,397,416,431,449,462,483,492,498,509,514,526,600,639,664,692,726,742,782,832,860,903,952,971,1002,1056,1115,1169,1218,1265,1287,1308,1395,1423,1440,1469,1501,1520,1665,1718,1771,1828,1904,1953
53,"Seneca NY",34016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,6,9,9,10,12,15,15,80,16,16,18,18,18,18,18,18,18,18,18,18,18,36,38,38,38,38,39,41,42,45,45,46,46,46,46,48,49,49,49,49,49,49,50,51,51,51,52,52,54,54,55
54,"Cortland NY",47581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,5,6,8,8,8,8,10,10,10,13,16,16,16,17,17,18,20,22,23,24,25,25,25,25,25,25,25,25,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,30,31,33,33,34,34,35,36,36,36,37,38,39
55,"Tompkins NY",102180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,6,7,7,13,15,16,16,22,26,45,52,66,66,68,74,84,85,88,94,97,99,105,105,108,109,110,112,115,116,117,117,117,119,119,119,119,121,126,126,126,126,127,128,128,128,129,129,129,129,130,131,132,132,132,132,136,136,136,138,139,141,142,145,145,147,149,151
56,"Oswego NY",117124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,7,8,14,15,17,22,26,26,28,29,31,33,36,36,37,38,38,41,42,44,45,45,47,48,49,49,49,51,57,61,61,63,63,63,64,66,66,67,68,70,70,72,75,75,75,76,76,78,80,83,84,84,89,90,92,96,99,100
57,"Jefferson NY",109834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,6,7,11,12,12,15,18,20,26,33,39,40,42,43,44,46,46,47,47,48,50,50,54,54,54,54,56,58,59,60,60,60,60,61,61,62,62,63,63,63,64,66,67,68,68,68,68,69,71,71,71,71,71,71,71,72,72,72
58,"St. Lawrence NY",107740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,8,12,13,30,34,39,43,52,55,59,60,69,76,78,80,85,89,92,92,93,96,98,105,110,120,123,139,144,156,167,169,170,170,173,176,176,177,178,178,180,181,187,187,187,190,191,192,192,192,192,192,192,192,195,195,195,196,197
59,"Lewis NY",26296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,6,6,6,6,6,6,6,6,7,7,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,12,12,13,16,17,18,18,18,19,19,19
60,"Nassau NY",1356924,0,0,0,0,0,0,0,0,0,0,1,1,4,5,19,19,28,41,51,79,98,109,131,183,372,754,1234,1900,2442,2869,3285,3914,4657,5537,6445,7344,8544,9554,10587,12024,13346,14398,15616,16610,18548,20140,21512,22584,23553,24358,25250,26715,27772,28539,29180,30013,30677,31079,31555,32124,32765,33798,34522,34865,35085,35505,35854,36161,36519,36780,36965,37152,37350,37593,37812,38028,38217,38337,38434,38587,38743,38864,39033,39136,39225,39295,39368,39487,39608,39726,39837
61,"New York NY",1628706,0,0,0,0,0,0,0,1,1,1,3,4,8,8,11,17,18,39,35,71,72,111,277,590,1038,1314,1863,2072,2572,2887,3616,4046,4478,5237,5582,6060,6539,7022,7398,8452,9300,9898,10440,11012,11504,12106,12722,13437,14145,14501,14880,16617,17091,17490,17932,18220,18468,18699,19025,19348,19854,20280,20773,21097,21312,21604,21920,22175,22496,22741,22900,23054,23257,23529,23730,23881,23977,24062,24191,24348,24525,24832,24982,25130,25216,25293,25391,25522,25672,25806,25909
62,"Kings NY",2559903,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,10,14,24,24,34,53,62,157,505,1195,1518,2484,2857,3494,4237,5232,6095,6750,8129,8887,10171,11160,12274,13290,15700,17504,18558,19702,20879,22082,23394,24715,26243,27471,28404,29306,31969,33521,34705,35763,36482,37030,37694,38481,39354,40648,41660,42487,43014,43587,44236,44872,45519,46275,46839,47183,47579,47974,48550,48998,49461,49817,50072,50331,50667,51095,51581,51991,52298,52485,52681,52889,53385,53639,53902,54175
63,"Queens NY",2253858,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,17,26,55,78,118,248,533,1042,1406,2254,2715,3621,4364,6420,7362,8214,9831,10737,12756,13869,15217,16819,18823,20114,21436,23133,24840,26248,27752,29303,31291,32835,33985,35053,36765,37918,39091,40216,41237,42023,42822,43713,44904,46387,47861,48745,49399,49929,50741,51631,52274,53039,53640,54090,54448,54880,55450,55944,56493,56862,57180,57391,57748,58084,58516,58841,59132,59324,59508,59752,60025,60236,60422,60636
64,"Suffolk NY",1476601,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,20,28,41,47,63,84,116,178,371,662,1034,1458,1880,2260,2735,3386,4138,5023,5791,6713,7605,8746,10154,11370,12405,13487,14517,15844,17413,18692,19883,20816,21643,22462,23278,24182,25035,26143,26888,27662,28154,28854,29567,30606,31368,32059,32470,32724,33265,33664,34037,34478,34855,35077,35275,35543,35892,36223,36461,36702,36911,37062,37305,37544,37719,37942,38117,38224,38327,38411,38553,38672,38802,38964
65,"Bronx NY",1418207,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,10,13,13,21,34,96,303,496,667,1071,1411,1829,2328,3542,4243,4655,5752,6250,6925,7814,8607,9343,11086,12315,13368,14327,15348,16626,17792,19160,20477,21441,22205,23266,24653,25932,27035,28019,28823,29372,30142,31130,31659,32701,34183,34970,35556,35994,36600,37244,37785,38450,38916,39223,39476,39839,40181,40533,40804,41059,41296,41441,41677,41980,42519,42812,43022,43158,43270,43418,43603,43766,43921,44137
66,"Westchester NY",967506,0,0,0,0,0,0,0,0,1,10,18,19,57,83,98,108,121,148,158,178,196,220,380,538,798,1091,1385,1873,2894,3891,4691,5944,7187,7875,8519,9329,9967,10683,11567,12351,13081,13723,14294,14804,15887,17004,18077,18729,19313,19786,20191,20947,21828,22476,23179,23803,24306,24656,25276,25959,26633,27231,27664,28007,28245,28626,28970,29232,29626,29884,30097,30240,30426,30708,30905,31087,31294,31384,31472,31611,31792,31943,32097,32224,32323,32402,32517,32673,32767,32881,32968
67,"Washington DC",705749,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,10,10,10,16,17,22,31,39,71,77,98,116,137,183,231,267,304,342,401,495,586,586,653,757,902,998,1097,1211,1440,1523,1660,1778,1875,1875,2058,2197,2350,2476,2666,2793,2927,3098,3206,3361,3528,3699,3841,3892,3994,4106,4323,4658,4797,5016,5170,5322,5461,5654,5899,6102,6272,6389,6485,6584,6736,6871,7042,7123,7270,7434,7551,7788,7893,7966,8110
68,"Arlington VA",236842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,13,14,17,17,22,26,34,36,46,54,63,75,84,86,104,119,128,135,150,181,203,237,254,280,312,349,366,390,401,420,453,485,520,575,593,625,663,686,764,790,790,836,865,912,967,1004,1044,1106,1139,1169,1169,1248,1281,1332,1368,1399,1416,1460,1499,1534,1560,1590,1638,1688,1728,1763,1795,1873,1897
69,"Fairfax VA",1147532,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,6,10,10,10,12,14,16,16,22,31,43,46,76,79,124,156,187,224,244,288,328,372,387,426,488,532,570,690,777,946,1008,1164,1207,1298,1375,1476,1633,1809,1925,2077,2256,2362,2745,2889,2889,3002,3278,3448,3611,3897,4046,4340,4615,4834,4834,5045,5338,5610,5892,6200,6470,6666,6951,7159,7386,7643,7843,8020,8163,8580,8734,8989,9482
70,"Prince William VA",470335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,4,4,11,12,14,18,18,23,32,36,44,56,72,79,94,106,117,131,159,175,193,236,263,299,337,390,389,434,508,536,582,644,700,742,793,867,924,1027,1184,1265,1265,1353,1449,1527,1645,1781,1900,2026,2146,2223,2223,2398,2474,2548,2740,2991,3078,3181,3351,3421,3563,3666,3759,3934,4054,4183,4315,4468,4702
71,"Stafford VA",152882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,5,6,6,6,7,11,11,13,20,24,28,27,29,38,41,43,49,48,54,60,67,72,87,95,108,120,128,143,152,161,164,170,180,198,213,213,218,221,225,240,251,262,271,288,308,308,334,344,354,374,384,396,413,426,442,458,467,484,501,514,540,552,581,599
72,"Loudoun VA",413538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,5,5,5,5,5,9,14,15,15,18,20,28,43,54,61,61,87,105,121,130,150,167,188,209,238,258,274,296,309,324,344,367,378,385,413,425,446,468,475,498,564,596,596,628,688,727,746,832,881,931,961,998,998,1043,1070,1127,1159,1195,1210,1283,1339,1374,1430,1446,1486,1527,1579,1700,1807,1821,2047
73,"Fauquier VA",71222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,6,6,7,7,8,9,10,10,11,18,17,20,23,25,25,28,28,29,32,35,36,39,41,49,56,64,80,87,87,96,105,109,111,128,128,133,140,147,147,149,153,168,172,180,180,190,200,205,211,213,223,243,251,261,267,282,285
74,"Shenandoah VA",43616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,6,7,8,9,10,10,12,13,12,13,15,15,16,17,17,23,27,28,33,39,39,41,45,53,58,72,74,74,78,79,95,108,120,134,145,149,165,165,213,236,242,245,250,260,271,278,285,297,303,319,329,345,355,358,372,376
75,"Warren VA",40164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,4,4,4,5,6,8,9,10,15,15,17,19,20,21,22,24,24,24,26,27,30,42,43,43,44,47,51,52,57,61,61,63,68,68,75,78,82,85,86,87,88,90,94,96,99,99,103,105,110,110,111,117
76,"Frederick VA",89313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,8,10,12,15,16,20,24,27,31,43,46,54,62,63,65,66,71,73,72,76,81,81,81,83,86,87,93,93,93,95,97,101,105,115,115,121,126,132,132,147,150,162,164,166,175,182,191,195,209,211,217,223,234,245,249,262,271
77,"Clarke VA",14619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,3,3,3,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,9,10,10,10,12,12,16,16,16,16,16,16,16,16,17,18,18,18,19,19,19,21,21,22
78,"Rappahannock VA",7370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,5,5,6,6,6,6,6,7,7,7,8,10,10,10,10,11,12,12,12,12,12,12,12,12,13
79,"Columbia OR",52354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,6,8,8,9,10,10,10,10,11,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16
80,"Hood River OR",23382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,7,9,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
81,"Multnomah OR",812855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,7,12,18,19,21,25,33,45,67,81,91,100,116,134,160,175,209,233,243,258,286,302,317,343,374,398,420,430,448,467,493,514,520,542,566,582,596,623,652,664,677,696,707,720,734,739,754,769,793,809,839,863,885,899,908,921,940,957,979,984,996,1005,1018,1026,1037,1037,1040
82,"Clark WA",488241,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,4,4,4,4,6,9,10,13,16,16,48,68,68,68,110,112,112,112,122,131,145,154,161,186,194,208,217,217,221,229,232,242,246,264,266,275,281,284,291,293,296,297,308,313,317,321,327,328,328,336,337,341,342,346,346,351,352,362,377,380,382,386,388,388,391,392,394,399,401,410
83,"Cowlitz WA",110593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,7,7,10,13,14,14,16,16,17,17,17,17,20,20,21,21,22,23,24,24,25,26,27,29,29,30,34,35,35,36,39,39,39,39,41,45,47,53,53,59,60,62,62,64,65,66,66,66,66,68,68,68,68,68,69,70,71,71,72,72
84,"Skamania WA",12083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
85,"Effingham GA",64296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,4,4,4,4,5,5,6,6,9,12,14,18,19,19,20,20,22,23,25,24,24,25,25,26,27,29,30,33,34,34,34,34,34,34,35,36,36,36,36,37,37,37,37,37,38,38,38,38,38,38,42,42,45,47,48,50,62,63,63
86,"Chatham GA",289430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,7,7,9,15,15,16,19,32,39,44,65,81,90,110,120,124,131,140,146,148,154,157,160,170,174,178,178,184,185,193,199,205,206,206,208,218,221,226,230,230,234,246,261,280,280,291,299,303,319,327,337,344,353,354,354,363,384,390,408,430,436,445
87,"Hampton SC",19222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,4,5,6,6,7,9,11,12,15,18,20,21,21,21,21,21,21,21,21,22,22,23,23,26,26,26,26,26,27,27,27,27,28,28,28,28,29,29,29,29,30,30,30,30,31,31,34
88,"Beaufort SC",192122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,6,7,8,13,14,21,22,26,29,35,39,50,74,91,101,130,131,148,156,163,169,174,184,186,186,194,194,198,205,206,214,220,225,225,233,236,241,244,253,253,254,259,262,263,269,269,269,269,269,269,269,273,273,279,280,282,282,284,288,291,292,294,299,304,306,314,332,335
89,"Charleston SC",411406,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,4,5,5,9,13,31,36,52,60,92,108,117,123,142,190,231,247,274,274,300,305,308,313,328,328,339,351,353,360,383,385,385,390,391,403,406,412,416,424,424,435,438,441,444,452,456,457,463,463,464,467,481,481,481,491,491,491,491,501,506,507,509,515,515,523,540,550,558
90,"Colleton SC",37677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,4,5,5,5,6,6,8,8,10,10,12,15,15,15,16,17,18,21,21,21,23,23,23,23,23,23,24,26,26,26,26,26,27,32,32,32,32,32,32,32,32,32,32,32,32,33,41,48,51,52,58,58,60,63,66,69,74
91,"Jasper SC",30073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,3,3,3,4,7,8,9,9,11,12,12,11,11,11,11,12,14,14,14,15,15,15,15,15,15,15,17,17,17,19,19,19,19,21,21,21,21,21,21,21,21,23,25,25,25,25,25,25,26,26,27,27,28,28,30,36,38
92,"Dorchester SC",162809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,4,9,10,10,12,17,27,35,36,44,44,51,51,54,58,65,65,71,73,73,78,78,83,83,83,83,84,84,84,84,86,86,91,91,94,97,100,100,100,100,101,103,104,105,105,106,108,109,109,110,110,111,113,114,114,118,120,126,137,140
93,"Bamberg SC",14066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,9,9,10,10,12,12,13,13,14,14,14,15,16,16,16,16,16,16,16,17,17,18,18,20,20,20,20
94,"Lee TX",17239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,5,6,6,6,6,6,6,6,6,6,8,8,8,9
95,"Burnet TX",48155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,4,4,4,4,4,5,5,5,6,6,6,6,6,7,7,8,8,8,9,13,13,14,14,14,14,15,15,16,19,19,19,19,23,24,24,24,25,26,26,26,28,28,28,28,28,28,28,28,28,29,29,29,29
96,"Bell TX",362924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,16,18,19,20,25,28,28,36,44,46,51,51,58,58,68,71,71,74,84,91,101,101,107,110,115,124,126,126,126,135,145,153,161,165,165,165,173,180,189,189,193,194,194,210,210,213,218,220,220,220,223,231,237,242,248,248,248,260,267,282,294,298,298
97,"Hays TX",230191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,4,5,6,7,9,9,9,13,13,13,16,28,38,42,45,47,50,54,59,61,77,79,82,82,82,82,93,109,109,109,109,109,109,140,140,140,148,148,148,155,161,165,165,167,167,168,176,176,176,195,203,203,203,203,214,217,219,219,219,219,219,238,250,259,266,270
98,"Bastrop TX",88723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,5,6,6,8,9,9,9,9,11,15,17,16,19,20,19,19,19,32,37,42,42,43,44,49,51,53,57,57,58,59,59,67,73,82,83,86,89,98,100,106,106,108,109,110,117,120,125,128,132,132,132,148,152,161,173,173,177
99,"Travis TX",1273954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,7,21,41,41,41,41,86,98,119,137,160,160,179,200,206,244,305,430,460,484,502,554,597,642,690,744,774,856,856,977,1029,1074,1074,1108,1108,1174,1233,1263,1312,1379,1396,1412,1464,1539,1591,1654,1683,1714,1756,1816,1876,1946,2002,2071,2095,2127,2171,2235,2288,2345,2381,2425,2459,2537,2595,2644,2712,2761,2788
100,"Williamson TX",590551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,9,14,19,22,27,34,34,37,42,42,50,55,63,71,76,77,81,87,97,103,110,113,117,119,124,128,140,146,151,155,156,158,167,182,206,211,262,287,287,293,301,306,313,323,328,333,341,352,361,368,377,380,397,424,442,451,463,481,486,501,513,520,528,541
101,"Caldwell TX",43664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,4,5,5,5,6,6,6,6,6,6,7,7,7,7,8,8,8,10,10,10,11,11,11,11,14,14,20,20,21,23,24,25,25,26,27,30,31,33,33,35,36,36,36,39,39,41,49,50,50
102,"Blanco TX",11931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8
